id,sentiment,text
681454382,negative,userMentionToken thanks for the apology. unfortunately i have had one too many bad experiences and will no longer be flying with southwest.
681454383,negative,userMentionToken i was told by customer service that only customer relations can extend the expiration date of my unused travel funds.
681454384,negative,userMentionToken userMentionToken over two hours now. ugh we should all get vouchers this is inexcusable esp after a pre flight check that was ok.
681454385,neutral,userMentionToken i have a 5:30 flight out of birmingham tomorrow night. can i reschedule it for an earlier flight because of the expected snow?
681454386,neutral,you have to follow me back so that i can dm userMentionToken
681454387,negative,"userMentionToken horrible experience, passenger of size was 1/3 in my seat, offered $50 voucher for this by christine c urlToken"
681454388,neutral,userMentionToken 3rd time flying southwest in two years. have another trip back to mx on october.
681454389,negative,"userMentionToken yes, very much so! i was looking forward to using your airlines for future flights but never again."
681454390,negative,userMentionToken need to learn how to treat people with respect and just a little dignity. fail
681454391,negative,"userMentionToken redeem-points packages magically gone by time we finally got through @ 10:01, felt like baitandswitch"
681454392,neutral,userMentionToken done
681454393,negative,userMentionToken i think i get a faster response on twitter than i do when i call...what's up with that?
681454394,neutral,userMentionToken any idea when the winter advisory will be posted for atl for tomorrow (2/25)?? i'd rather get to phl tonight.
681454395,negative,"userMentionToken then had to watch the staff check off each passenger on the list twice, because the first time they forgot look at ids. brutal"
681454396,negative,"userMentionToken was on flight 2373 from chi-buf last night, almost 2 hour delay cuz someone got on the plane without a pass - sounds safe. 1/2"
681454397,positive,userMentionToken thx for your quick response and action! bf will make good use of the voucher satisfied happycustomer
681454398,negative,userMentionToken nothing you can do to help us restore some barely-expired rapidrewards points?
681454399,negative,userMentionToken rapid rewards program sold me short. lasttweetaboutthis but still disappointed.
681454400,negative,userMentionToken freezing in the plane
681454401,negative,userMentionToken where your airline people screwed up our boarding passes on the way back from puerto vallarta. this is horrible and we are
681454402,negative,userMentionToken from groupa to group c. we have never got to sit next to each other on any south west flight not even on our honey moon
681454403,negative,userMentionToken flight to atlanta getting cancelled flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us
681454404,negative,userMentionToken due to an apparent water issue that checked out fine during the checks my husband and i already had to deal with our first
681454405,negative,userMentionToken u have a lot of pissed off hungry tired people stuck at midway 4 over 2 hours after scheduled departure. this is inexcusable
681454406,negative,userMentionToken do you know that your lost baggage portal urlToken doesn't work on mobile? it's a 404 urlToken
